Gene	Cytoband	CNA	#	Freq	Cases	Gistic
HIST1H3J	6p22.1	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H2AM	6p22.1	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H2BO	6p22.1	AMP	1	0.39%	TCGA-AA-A01R-01	
MDC1	6p21.3	AMP	1	0.39%	TCGA-AA-A01R-01	
POU5F1	6p21.31	AMP	1	0.39%	TCGA-AA-A01R-01	
NOTCH4	6p21.3	AMP	1	0.39%	TCGA-AA-A01R-01	
DAXX	6p21.3	AMP	1	0.39%	TCGA-AA-A01R-01	
HMGA1	6p21	AMP	1	0.39%	TCGA-AA-A01R-01	
FANCE	6p21.31	AMP	1	0.39%	TCGA-AA-A01R-01	
HLA-A	6p21.3	AMP	1	0.39%	TCGA-AA-A01R-01	
HLA-B	6p21.3	AMP	1	0.39%	TCGA-AA-A01R-01	
PARK2	6q25.2-q27	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AF-3400-01	
BMPR1A	10q22.3	DEL	1	0.39%	TCGA-AA-3680-01	
NUTM2A	10q23.2	DEL	1	0.39%	TCGA-AA-3680-01	
WT1	11p13	DEL	1	0.39%	TCGA-AA-3680-01	
LMO2	11p13	DEL	1	0.39%	TCGA-AA-3680-01	
TGFBR2	3p22	DEL	1	0.39%	TCGA-AA-3680-01	
MLH1	3p21.3	DEL	1	0.39%	TCGA-AA-3680-01	
AFF1	4q21	DEL	1	0.39%	TCGA-AA-3680-01	
LATS1	6q25.1	DEL	1	0.39%	TCGA-AA-3680-01	
ESR1	6q25.1	DEL	1	0.39%	TCGA-AA-3680-01	
SYNE1	6q25	DEL	1	0.39%	TCGA-AA-3680-01	
EZR	6q25.3	DEL	1	0.39%	TCGA-AA-3680-01	
MAP3K4	6q26	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AF-3400-01	
WRN	8p12	DEL	4	1.56%	TCGA-AA-3680-01,TCGA-AA-3488-01,TCGA-AA-3494-01,TCGA-AG-A01N-01	
FAS	10q24.1	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AA-3952-01	
TLL2	10q24.1	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AA-3696-01	
CHUK	10q24-q25	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AA-3696-01	
TLX1	10q24	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AA-3696-01	
